Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,Value
2000,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,,PER_1000_LIVE_BIRTHS,196
2005,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,,PER_1000_LIVE_BIRTHS,152
2008,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,,PER_1000_LIVE_BIRTHS,103
2010,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,,PER_1000_LIVE_BIRTHS,76
2015,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,,PER_1000_LIVE_BIRTHS,50
2020,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,,PER_1000_LIVE_BIRTHS,45
2008,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,U,PER_1000_LIVE_BIRTHS,87
2010,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,U,PER_1000_LIVE_BIRTHS,81
2015,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,U,PER_1000_LIVE_BIRTHS,51
2008,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,R,PER_1000_LIVE_BIRTHS,142
2010,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,R,PER_1000_LIVE_BIRTHS,105
2015,A,_X,Under-five mortality rate,0,"DHS, NISR",A,N,SH_DYN_MORT,RW,Y0T4,R,PER_1000_LIVE_BIRTHS,70
